代码,标的,市值快照日期,快照时间,总市值(亿元),市值状态,观察状态,边界复核,主层级,细分,来源网站,来源条数,当前等级,第一变量,样本角色,下一步回源,证伪点
601728,中国电信,2026-07-10,20260710161441,5161.00,>=100亿元,强制观察,否,工具链与基础软件、待二次归类,中国AI 50、人工智能、边缘计算,东方财富、同花顺,3,L0/L1,待补第一变量、部署量、客户、收入、云边协同成本,细分候选/组内补漏、题材外溢/低纯度观察,回源年报、IR、产品价格、客户案例和收入/续费字段、按细分补公告、年报、IR或产品页回源,只有发布会/题材标签，未形成付费、续费、合同或收入验证、无法回源到正式经营变量，维持L0/L1或剔除
002475,立讯精密,2026-07-10,20260710161421,4800.49,>=100亿元,强制观察,否,供配电与温控、数据中心与基础设施、终端与具身智能、高速互联,CPO概念、光通信模块、数据中心、数据中心(AIDC)、机器人概念、机器视觉、液冷服务器、液冷概念、铜缆高速连接,东方财富、同花顺,9,L0/L1,出货、客户定点、BOM价值量、机器人/端侧收入占比、机柜资源、上架率、利用率、融资成本、订单、交付、收入确认、OCF和客户结构、速率升级、客户、订单、ASP、产能利用率,细分候选/组内补漏、题材外溢/低纯度观察,回源产品页、渠道动销、客户定点、出货、退货率和收入拆分、回源公告/合同/定期报告，补服务期、交付起租、利用率、应收回款和OCF、回源公告、年报、订单、客户、产能、毛利率和现金流字段,两个报告期内无收入/回款/利用率改善，或融资成本吞噬利润、定点/出货不兑现，渠道退货高，硬件或订阅收入无法拆出、客户、订单、收入或毛利无法连续验证，CapEx先行但回报不足
002384,东山精密,2026-07-10,20260710161439,4437.99,>=100亿元,强制观察,否,高速互联,光通信模块,东方财富,1,L0/L1,速率升级、客户、订单、ASP、产能利用率,细分候选/组内补漏,回源公告、年报、订单、客户、产能、毛利率和现金流字段,客户、订单、收入或毛利无法连续验证，CapEx先行但回报不足
603986,兆易创新,2026-07-10,20260710161442,4294.68,>=100亿元,强制观察,否,待二次归类,人工智能,东方财富,1,L0/L1,待补第一变量,题材外溢/低纯度观察,按细分补公告、年报、IR或产品页回源,无法回源到正式经营变量，维持L0/L1或剔除
688802,沐曦股份-U,2026-07-10,20260710161447,3638.31,>=100亿元,强制观察,否,计算芯片,AI芯片,东方财富,1,L0/L1,芯片出货、客户导入、国产替代、端侧/推理渗透,细分候选/组内补漏,回源公告、年报、订单、客户、产能、毛利率和现金流字段,客户、订单、收入或毛利无法连续验证，CapEx先行但回报不足
600183,生益科技,2026-07-10,20260710161441,3628.86,>=100亿元,强制观察,否,存储链、高速互联,PCB、存储芯片,东方财富,2,L0/L1,价格、出货、客户绑定、测试/封测配套收入、速率升级、客户、订单、ASP、产能利用率,细分候选/组内补漏,回源公告、年报、订单、客户、产能、毛利率和现金流字段,客户、订单、收入或毛利无法连续验证，CapEx先行但回报不足
688795,摩尔线程-U,2026-07-10,20260710161456,3294.94,>=100亿元,强制观察,否,计算芯片,AI芯片,东方财富,1,L0/L1,芯片出货、客户导入、国产替代、端侧/推理渗透,细分候选/组内补漏,回源公告、年报、订单、客户、产能、毛利率和现金流字段,客户、订单、收入或毛利无法连续验证，CapEx先行但回报不足
688008,澜起科技,2026-07-10,20260710161444,3271.77,>=100亿元,强制观察,否,待二次归类、终端与具身智能,AIPC、人工智能,东方财富,2,L0/L1,出货、客户定点、BOM价值量、机器人/端侧收入占比、待补第一变量,细分候选/组内补漏、题材外溢/低纯度观察,回源产品页、渠道动销、客户定点、出货、退货率和收入拆分、按细分补公告、年报、IR或产品页回源,定点/出货不兑现，渠道退货高，硬件或订阅收入无法拆出、无法回源到正式经营变量，维持L0/L1或剔除
300059,东方财富,2026-07-10,20260710161430,3194.50,>=100亿元,强制观察,否,待二次归类、终端与具身智能,人工智能、虚拟机器人,东方财富,2,L0/L1,出货、客户定点、BOM价值量、机器人/端侧收入占比、待补第一变量,细分候选/组内补漏、题材外溢/低纯度观察,回源产品页、渠道动销、客户定点、出货、退货率和收入拆分、按细分补公告、年报、IR或产品页回源,定点/出货不兑现，渠道退货高，硬件或订阅收入无法拆出、无法回源到正式经营变量，维持L0/L1或剔除
002415,海康威视,2026-07-10,20260710161412,3157.30,>=100亿元,强制观察,否,工具链与基础软件、待二次归类、终端与具身智能,人工智能、机器人概念、边缘计算,东方财富,3,L0/L1,出货、客户定点、BOM价值量、机器人/端侧收入占比、待补第一变量、部署量、客户、收入、云边协同成本,细分候选/组内补漏、题材外溢/低纯度观察,回源产品页、渠道动销、客户定点、出货、退货率和收入拆分、回源年报、IR、产品价格、客户案例和收入/续费字段、按细分补公告、年报、IR或产品页回源,只有发布会/题材标签，未形成付费、续费、合同或收入验证、定点/出货不兑现，渠道退货高，硬件或订阅收入无法拆出、无法回源到正式经营变量，维持L0/L1或剔除
002916,深南电路,2026-07-10,20260710161442,2901.77,>=100亿元,强制观察,否,存储链、数据中心与基础设施、计算芯片、高速互联,PCB、国产芯片、存储芯片、数据中心(AIDC),东方财富、同花顺,4,L0/L1,价格、出货、客户绑定、测试/封测配套收入、机柜资源、上架率、利用率、融资成本、芯片出货、客户导入、国产替代、端侧/推理渗透、速率升级、客户、订单、ASP、产能利用率,细分候选/组内补漏、题材外溢/低纯度观察,回源公告/合同/定期报告，补服务期、交付起租、利用率、应收回款和OCF、回源公告、年报、订单、客户、产能、毛利率和现金流字段,两个报告期内无收入/回款/利用率改善，或融资成本吞噬利润、客户、订单、收入或毛利无法连续验证，CapEx先行但回报不足
000725,京东方Ａ,2026-07-10,20260710161412,2811.66,>=100亿元,强制观察,否,待二次归类,人工智能,东方财富,1,L0/L1,待补第一变量,题材外溢/低纯度观察,按细分补公告、年报、IR或产品页回源,无法回源到正式经营变量，维持L0/L1或剔除
300476,胜宏科技,2026-07-10,20260710161409,2673.17,>=100亿元,强制观察,否,终端与具身智能,人形机器人、机器人概念,东方财富,2,L0/L1,出货、客户定点、BOM价值量、机器人/端侧收入占比,细分候选/组内补漏、题材外溢/低纯度观察,回源产品页、渠道动销、客户定点、出货、退货率和收入拆分,定点/出货不兑现，渠道退货高，硬件或订阅收入无法拆出
301308,江波龙,2026-07-10,20260710161500,2485.91,>=100亿元,强制观察,否,终端与具身智能,AIPC、AI手机、机器人概念,东方财富,3,L0/L1,出货、客户定点、BOM价值量、机器人/端侧收入占比,细分候选/组内补漏、题材外溢/低纯度观察,回源产品页、渠道动销、客户定点、出货、退货率和收入拆分,定点/出货不兑现，渠道退货高，硬件或订阅收入无法拆出
000338,潍柴动力,2026-07-10,20260710161454,2388.15,>=100亿元,强制观察,否,应用平台、数据中心与基础设施,AI智能体、数据中心、数据中心(AIDC),东方财富、同花顺,3,L0/L1,付费客户、续费、项目收入、调用量、OCF、机柜资源、上架率、利用率、融资成本,细分候选/组内补漏,回源公告/合同/定期报告，补服务期、交付起租、利用率、应收回款和OCF、回源年报、IR、产品价格、客户案例和收入/续费字段,两个报告期内无收入/回款/利用率改善，或融资成本吞噬利润、只有发布会/题材标签，未形成付费、续费、合同或收入验证
300433,蓝思科技,2026-07-10,20260710161454,2303.64,>=100亿元,强制观察,否,供配电与温控、终端与具身智能,AIPC、人形机器人、减速器、机器人概念、液冷服务器,东方财富、同花顺,5,L0/L1,出货、客户定点、BOM价值量、机器人/端侧收入占比、订单、交付、收入确认、OCF和客户结构,细分候选/组内补漏、题材外溢/低纯度观察,回源产品页、渠道动销、客户定点、出货、退货率和收入拆分、回源公告、年报、订单、客户、产能、毛利率和现金流字段,定点/出货不兑现，渠道退货高，硬件或订阅收入无法拆出、客户、订单、收入或毛利无法连续验证，CapEx先行但回报不足
002938,鹏鼎控股,2026-07-10,20260710161500,2282.08,>=100亿元,强制观察,否,终端与具身智能、高速互联,AIPC、AI手机、光通信模块,东方财富,3,L0/L1,出货、客户定点、BOM价值量、机器人/端侧收入占比、速率升级、客户、订单、ASP、产能利用率,细分候选/组内补漏,回源产品页、渠道动销、客户定点、出货、退货率和收入拆分、回源公告、年报、订单、客户、产能、毛利率和现金流字段,定点/出货不兑现，渠道退货高，硬件或订阅收入无法拆出、客户、订单、收入或毛利无法连续验证，CapEx先行但回报不足
600176,中国巨石,2026-07-10,20260710161440,2229.75,>=100亿元,强制观察,否,晶圆制造与材料,PEEK材料概念,东方财富,1,L0/L1,订单、客户、材料/设备收入、国产替代验证,细分候选/组内补漏,回源公告、年报、订单、客户、产能、毛利率和现金流字段,客户、订单、收入或毛利无法连续验证，CapEx先行但回报不足
000651,格力电器,2026-07-10,20260710161409,2142.54,>=100亿元,强制观察,否,终端与具身智能,机器人概念,东方财富,1,L0/L1,出货、客户定点、BOM价值量、机器人/端侧收入占比,题材外溢/低纯度观察,回源产品页、渠道动销、客户定点、出货、退货率和收入拆分,定点/出货不兑现，渠道退货高，硬件或订阅收入无法拆出
688808,联讯仪器,2026-07-10,20260710161441,2140.56,>=100亿元,强制观察,否,先进封装、高速互联,CPO概念、先进封装、光通信模块,东方财富,3,L0/L1,封装产能、客户、订单、良率与CapEx回报、速率升级、客户、订单、ASP、产能利用率,细分候选/组内补漏,回源公告、年报、订单、客户、产能、毛利率和现金流字段,客户、订单、收入或毛利无法连续验证，CapEx先行但回报不足
000063,中兴通讯,2026-07-10,20260710161445,1938.77,>=100亿元,强制观察,否,云与算力运营、安全合规治理、工具链与基础软件、待二次归类、终端与具身智能,AI手机、中国AI 50、云计算、人工智能、网络安全、边缘计算,东方财富、同花顺,6,L0/L1,出货、客户定点、BOM价值量、机器人/端侧收入占比、合同交付、起租、利用率、回款、OCF、安全产品收入、政企客户、回款、合规需求、待补第一变量、部署量、客户、收入、云边协同成本,细分候选/组内补漏、题材外溢/低纯度观察,回源产品页、渠道动销、客户定点、出货、退货率和收入拆分、回源公告/合同/定期报告，补服务期、交付起租、利用率、应收回款和OCF、回源年报、IR、产品价格、客户案例和收入/续费字段、按细分补公告、年报、IR或产品页回源,两个报告期内无收入/回款/利用率改善，或融资成本吞噬利润、只有发布会/题材标签，未形成付费、续费、合同或收入验证、定点/出货不兑现，渠道退货高，硬件或订阅收入无法拆出、无法回源到正式经营变量，维持L0/L1或剔除
600487,亨通光电,2026-07-10,20260710161452,1918.61,>=100亿元,强制观察,否,终端与具身智能,机器人概念,东方财富,1,L0/L1,出货、客户定点、BOM价值量、机器人/端侧收入占比,题材外溢/低纯度观察,回源产品页、渠道动销、客户定点、出货、退货率和收入拆分,定点/出货不兑现，渠道退货高，硬件或订阅收入无法拆出
688525,佰维存储,2026-07-10,20260710161457,1832.04,>=100亿元,强制观察,否,先进封装、终端与具身智能,AIPC、AI手机、先进封装、机器人概念,东方财富,4,L0/L1,出货、客户定点、BOM价值量、机器人/端侧收入占比、封装产能、客户、订单、良率与CapEx回报,细分候选/组内补漏、题材外溢/低纯度观察,回源产品页、渠道动销、客户定点、出货、退货率和收入拆分、回源公告、年报、订单、客户、产能、毛利率和现金流字段,定点/出货不兑现，渠道退货高，硬件或订阅收入无法拆出、客户、订单、收入或毛利无法连续验证，CapEx先行但回报不足
002050,三花智控,2026-07-10,20260710161500,1817.86,>=100亿元,强制观察,否,供配电与温控、数据中心与基础设施、终端与具身智能,数据中心(AIDC)、机器人执行器、机器人概念、液冷服务器,东方财富、同花顺,4,L0/L1,出货、客户定点、BOM价值量、机器人/端侧收入占比、机柜资源、上架率、利用率、融资成本、订单、交付、收入确认、OCF和客户结构,细分候选/组内补漏、题材外溢/低纯度观察,回源产品页、渠道动销、客户定点、出货、退货率和收入拆分、回源公告/合同/定期报告，补服务期、交付起租、利用率、应收回款和OCF、回源公告、年报、订单、客户、产能、毛利率和现金流字段,两个报告期内无收入/回款/利用率改善，或融资成本吞噬利润、定点/出货不兑现，渠道退货高，硬件或订阅收入无法拆出、客户、订单、收入或毛利无法连续验证，CapEx先行但回报不足
001309,德明利,2026-07-10,20260710161409,1814.72,>=100亿元,强制观察,否,存储链、数据中心与基础设施、晶圆制造与材料、终端与具身智能、计算芯片,AIPC、半导体概念、国产芯片、存储芯片、数据中心(AIDC),东方财富、同花顺,5,L0/L1,价格、出货、客户绑定、测试/封测配套收入、出货、客户定点、BOM价值量、机器人/端侧收入占比、机柜资源、上架率、利用率、融资成本、芯片出货、客户导入、国产替代、端侧/推理渗透、订单、客户、材料/设备收入、国产替代验证,细分候选/组内补漏、题材外溢/低纯度观察,回源产品页、渠道动销、客户定点、出货、退货率和收入拆分、回源公告/合同/定期报告，补服务期、交付起租、利用率、应收回款和OCF、回源公告、年报、订单、客户、产能、毛利率和现金流字段,两个报告期内无收入/回款/利用率改善，或融资成本吞噬利润、定点/出货不兑现，渠道退货高，硬件或订阅收入无法拆出、客户、订单、收入或毛利无法连续验证，CapEx先行但回报不足
300124,汇川技术,2026-07-10,20260710161430,1717.43,>=100亿元,强制观察,否,供配电与温控、应用平台、终端与具身智能,AI应用、人形机器人、机器人概念、机器视觉、液冷服务器,东方财富、同花顺,5,L0/L1,付费客户、续费、项目收入、调用量、OCF、出货、客户定点、BOM价值量、机器人/端侧收入占比、订单、交付、收入确认、OCF和客户结构,细分候选/组内补漏、题材外溢/低纯度观察,回源产品页、渠道动销、客户定点、出货、退货率和收入拆分、回源公告、年报、订单、客户、产能、毛利率和现金流字段、回源年报、IR、产品价格、客户案例和收入/续费字段,只有发布会/题材标签，未形成付费、续费、合同或收入验证、定点/出货不兑现，渠道退货高，硬件或订阅收入无法拆出、客户、订单、收入或毛利无法连续验证，CapEx先行但回报不足
300033,同花顺,2026-07-10,20260710161421,1707.14,>=100亿元,强制观察,否,待二次归类、数据层、终端与具身智能,AI语料、人工智能、虚拟机器人,东方财富、同花顺,3,L0/L1,出货、客户定点、BOM价值量、机器人/端侧收入占比、待补第一变量、数据授权、采集/清洗、客户、合规与付费,细分候选/组内补漏、题材外溢/低纯度观察,回源产品页、渠道动销、客户定点、出货、退货率和收入拆分、回源年报、IR、产品价格、客户案例和收入/续费字段、按细分补公告、年报、IR或产品页回源,只有发布会/题材标签，未形成付费、续费、合同或收入验证、定点/出货不兑现，渠道退货高，硬件或订阅收入无法拆出、无法回源到正式经营变量，维持L0/L1或剔除
002352,顺丰控股,2026-07-10,20260710161430,1686.48,>=100亿元,强制观察,否,待二次归类,人工智能,东方财富,1,L0/L1,待补第一变量,题材外溢/低纯度观察,按细分补公告、年报、IR或产品页回源,无法回源到正式经营变量，维持L0/L1或剔除
000988,华工科技,2026-07-10,20260710161436,1589.40,>=100亿元,强制观察,否,终端与具身智能,机器人概念,东方财富,1,L0/L1,出货、客户定点、BOM价值量、机器人/端侧收入占比,题材外溢/低纯度观察,回源产品页、渠道动销、客户定点、出货、退货率和收入拆分,定点/出货不兑现，渠道退货高，硬件或订阅收入无法拆出
603019,中科曙光,2026-07-10,20260710161455,1572.85,>=100亿元,强制观察,否,工具链与基础软件、待二次归类,中国AI 50、人工智能、边缘计算,东方财富、同花顺,3,L0/L1,待补第一变量、部署量、客户、收入、云边协同成本,细分候选/组内补漏、题材外溢/低纯度观察,回源年报、IR、产品价格、客户案例和收入/续费字段、按细分补公告、年报、IR或产品页回源,只有发布会/题材标签，未形成付费、续费、合同或收入验证、无法回源到正式经营变量，维持L0/L1或剔除
688146,中船特气,2026-07-10,20260710161500,1556.42,>=100亿元,强制观察,否,晶圆制造与材料,光刻机,同花顺,1,L0/L1,订单、客户、材料/设备收入、国产替代验证,细分候选/组内补漏,回源公告、年报、订单、客户、产能、毛利率和现金流字段,客户、订单、收入或毛利无法连续验证，CapEx先行但回报不足
688702,盛科通信,2026-07-10,20260710161438,1552.59,>=100亿元,强制观察,否,待二次归类,中国AI 50,同花顺,1,L0/L1,待补第一变量,题材外溢/低纯度观察,按细分补公告、年报、IR或产品页回源,无法回源到正式经营变量，维持L0/L1或剔除
002353,杰瑞股份,2026-07-10,20260710161433,1548.07,>=100亿元,强制观察,否,供配电与温控、数据中心与基础设施,数据中心(AIDC)、液冷服务器,同花顺,2,L0/L1,机柜资源、上架率、利用率、融资成本、订单、交付、收入确认、OCF和客户结构,细分候选/组内补漏,回源公告/合同/定期报告，补服务期、交付起租、利用率、应收回款和OCF、回源公告、年报、订单、客户、产能、毛利率和现金流字段,两个报告期内无收入/回款/利用率改善，或融资成本吞噬利润、客户、订单、收入或毛利无法连续验证，CapEx先行但回报不足
688521,芯原股份,2026-07-10,20260710161434,1535.67,>=100亿元,强制观察,否,待二次归类,人工智能,东方财富,1,L0/L1,待补第一变量,题材外溢/低纯度观察,按细分补公告、年报、IR或产品页回源,无法回源到正式经营变量，维持L0/L1或剔除
302132,中航成飞,2026-07-10,20260710161442,1525.76,>=100亿元,强制观察,否,终端与具身智能,人形机器人,东方财富,1,L0/L1,出货、客户定点、BOM价值量、机器人/端侧收入占比,细分候选/组内补漏,回源产品页、渠道动销、客户定点、出货、退货率和收入拆分,定点/出货不兑现，渠道退货高，硬件或订阅收入无法拆出
601100,恒立液压,2026-07-10,20260710161435,1488.45,>=100亿元,强制观察,否,待二次归类,中国AI 50,同花顺,1,L0/L1,待补第一变量,题材外溢/低纯度观察,按细分补公告、年报、IR或产品页回源,无法回源到正式经营变量，维持L0/L1或剔除
301526,国际复材,2026-07-10,20260710161400,1424.26,>=100亿元,强制观察,否,晶圆制造与材料,PEEK材料概念,东方财富,1,L0/L1,订单、客户、材料/设备收入、国产替代验证,细分候选/组内补漏,回源公告、年报、订单、客户、产能、毛利率和现金流字段,客户、订单、收入或毛利无法连续验证，CapEx先行但回报不足
300857,协创数据,2026-07-10,20260710161421,1360.23,>=100亿元,强制观察,否,云与算力运营、应用平台、待二次归类、终端与具身智能、计算芯片、高速互联,AIGC概念、CPO概念、云计算、人工智能、人形机器人、算力租赁、英伟达概念,东方财富、同花顺,7,L0/L1,付费客户、续费、项目收入、调用量、OCF、出货、客户定点、BOM价值量、机器人/端侧收入占比、合同交付、起租、利用率、回款、OCF、待补第一变量、芯片出货、客户导入、国产替代、端侧/推理渗透、速率升级、客户、订单、ASP、产能利用率,细分候选/组内补漏、题材外溢/低纯度观察,回源产品页、渠道动销、客户定点、出货、退货率和收入拆分、回源公告/合同/定期报告，补服务期、交付起租、利用率、应收回款和OCF、回源公告、年报、订单、客户、产能、毛利率和现金流字段、回源年报、IR、产品价格、客户案例和收入/续费字段、按细分补公告、年报、IR或产品页回源,两个报告期内无收入/回款/利用率改善，或融资成本吞噬利润、只有发布会/题材标签，未形成付费、续费、合同或收入验证、定点/出货不兑现，渠道退货高，硬件或订阅收入无法拆出、客户、订单、收入或毛利无法连续验证，CapEx先行但回报不足、无法回源到正式经营变量，维持L0/L1或剔除
688818,电科蓝天,2026-07-10,20260710161441,1360.01,>=100亿元,强制观察,否,终端与具身智能,人形机器人、机器人概念,东方财富,2,L0/L1,出货、客户定点、BOM价值量、机器人/端侧收入占比,细分候选/组内补漏、题材外溢/低纯度观察,回源产品页、渠道动销、客户定点、出货、退货率和收入拆分,定点/出货不兑现，渠道退货高，硬件或订阅收入无法拆出
300442,润泽科技,2026-07-10,20260710161403,1349.76,>=100亿元,强制观察,否,待二次归类、终端与具身智能,中国AI 50、机器人概念,东方财富、同花顺,2,L0/L1,出货、客户定点、BOM价值量、机器人/端侧收入占比、待补第一变量,题材外溢/低纯度观察,回源产品页、渠道动销、客户定点、出货、退货率和收入拆分、按细分补公告、年报、IR或产品页回源,定点/出货不兑现，渠道退货高，硬件或订阅收入无法拆出、无法回源到正式经营变量，维持L0/L1或剔除
002008,大族激光,2026-07-10,20260710161418,1341.57,>=100亿元,强制观察,否,晶圆制造与材料、终端与具身智能,光刻机、机器人执行器、机器人概念、第三代半导体,东方财富、同花顺,4,L0/L1,出货、客户定点、BOM价值量、机器人/端侧收入占比、订单、客户、材料/设备收入、国产替代验证,细分候选/组内补漏、题材外溢/低纯度观察,回源产品页、渠道动销、客户定点、出货、退货率和收入拆分、回源公告、年报、订单、客户、产能、毛利率和现金流字段,定点/出货不兑现，渠道退货高，硬件或订阅收入无法拆出、客户、订单、收入或毛利无法连续验证，CapEx先行但回报不足
000977,浪潮信息,2026-07-10,20260710161430,1314.58,>=100亿元,强制观察,否,云与算力运营、供配电与温控、安全合规治理、工具链与基础软件、待二次归类、数据中心与基础设施、计算芯片,东数西算(算力)、中国AI 50、人工智能、液冷服务器、算力概念、算力租赁、网络安全、英伟达概念、边缘计算,东方财富、同花顺,9,L0/L1,合同交付、起租、利用率、回款、OCF、安全产品收入、政企客户、回款、合规需求、待补第一变量、机柜资源、上架率、利用率、融资成本、芯片出货、客户导入、国产替代、端侧/推理渗透、订单、交付、收入确认、OCF和客户结构、部署量、客户、收入、云边协同成本,细分候选/组内补漏、题材外溢/低纯度观察,回源公告/合同/定期报告，补服务期、交付起租、利用率、应收回款和OCF、回源公告、年报、订单、客户、产能、毛利率和现金流字段、回源年报、IR、产品价格、客户案例和收入/续费字段、按细分补公告、年报、IR或产品页回源,两个报告期内无收入/回款/利用率改善，或融资成本吞噬利润、只有发布会/题材标签，未形成付费、续费、合同或收入验证、客户、订单、收入或毛利无法连续验证，CapEx先行但回报不足、无法回源到正式经营变量，维持L0/L1或剔除
600050,中国联通,2026-07-10,20260710161437,1313.11,>=100亿元,强制观察,否,待二次归类,中国AI 50,同花顺,1,L0/L1,待补第一变量,题材外溢/低纯度观察,按细分补公告、年报、IR或产品页回源,无法回源到正式经营变量，维持L0/L1或剔除
601633,长城汽车,2026-07-10,20260710161448,1305.25,>=100亿元,强制观察,否,待二次归类,人工智能,东方财富,1,L0/L1,待补第一变量,题材外溢/低纯度观察,按细分补公告、年报、IR或产品页回源,无法回源到正式经营变量，维持L0/L1或剔除
603296,华勤技术,2026-07-10,20260710161446,1255.41,>=100亿元,强制观察,否,待二次归类、终端与具身智能,AIPC、中国AI 50、人形机器人、机器人概念,东方财富、同花顺,4,L0/L1,出货、客户定点、BOM价值量、机器人/端侧收入占比、待补第一变量,细分候选/组内补漏、题材外溢/低纯度观察,回源产品页、渠道动销、客户定点、出货、退货率和收入拆分、按细分补公告、年报、IR或产品页回源,定点/出货不兑现，渠道退货高，硬件或订阅收入无法拆出、无法回源到正式经营变量，维持L0/L1或剔除
002600,领益智造,2026-07-10,20260710161427,1230.99,>=100亿元,强制观察,否,供配电与温控、待二次归类、终端与具身智能,AIPC、AI手机、人工智能、人形机器人、减速器、机器人概念、液冷服务器、液冷概念,东方财富、同花顺,8,L0/L1,出货、客户定点、BOM价值量、机器人/端侧收入占比、待补第一变量、订单、交付、收入确认、OCF和客户结构,细分候选/组内补漏、题材外溢/低纯度观察,回源产品页、渠道动销、客户定点、出货、退货率和收入拆分、回源公告、年报、订单、客户、产能、毛利率和现金流字段、按细分补公告、年报、IR或产品页回源,定点/出货不兑现，渠道退货高，硬件或订阅收入无法拆出、客户、订单、收入或毛利无法连续验证，CapEx先行但回报不足、无法回源到正式经营变量，维持L0/L1或剔除
300014,亿纬锂能,2026-07-10,20260710161418,1194.01,>=100亿元,强制观察,否,终端与具身智能,机器人概念,东方财富,1,L0/L1,出货、客户定点、BOM价值量、机器人/端侧收入占比,题材外溢/低纯度观察,回源产品页、渠道动销、客户定点、出货、退货率和收入拆分,定点/出货不兑现，渠道退货高，硬件或订阅收入无法拆出
