代码,标的,市值快照日期,快照时间,总市值(亿元),市值来源,市值状态,观察状态,AI路由状态,边界复核,主层级,细分,来源网站,来源条数,当前等级,第一变量,样本角色,下一步回源,证伪点
601628,中国人寿,2026-07-10,15:34:59,10576.65,新浪财经全市场市值清单,>=100亿元,强制审计,待路由审计,否,待路由审计,待路由审计,新浪全市场市值清单,0,L0待路由,先判定是否属于AI产业链，再确定第一变量,全市场待路由审计,年报、公告、IR和产品页核对主营业务与AI关系,主营业务与AI产业链无实质关系，标记为非AI并保留审计记录
600036,XD招商银,2026-07-10,15:34:59,9301.08,新浪财经全市场市值清单,>=100亿元,强制审计,待路由审计,否,待路由审计,待路由审计,新浪全市场市值清单,0,L0待路由,先判定是否属于AI产业链，再确定第一变量,全市场待路由审计,年报、公告、IR和产品页核对主营业务与AI关系,主营业务与AI产业链无实质关系，标记为非AI并保留审计记录
601088,中国神华,2026-07-10,15:34:59,9118.24,新浪财经全市场市值清单,>=100亿元,强制审计,待路由审计,否,待路由审计,待路由审计,新浪全市场市值清单,0,L0待路由,先判定是否属于AI产业链，再确定第一变量,全市场待路由审计,年报、公告、IR和产品页核对主营业务与AI关系,主营业务与AI产业链无实质关系，标记为非AI并保留审计记录
601318,中国平安,2026-07-10,15:34:59,8959.66,新浪财经全市场市值清单,>=100亿元,强制审计,待路由审计,否,待路由审计,待路由审计,新浪全市场市值清单,0,L0待路由,先判定是否属于AI产业链，再确定第一变量,全市场待路由审计,年报、公告、IR和产品页核对主营业务与AI关系,主营业务与AI产业链无实质关系，标记为非AI并保留审计记录
688256,寒武纪,2026-07-10,15:34:59,8796.10,新浪财经全市场市值清单,>=100亿元,强制观察,已路由AI候选,否,先进封装、工具链与基础软件、待二次归类,中国AI 50、人工智能、先进封装、边缘计算,东方财富、同花顺,4,L0/L1,封装产能、客户、订单、良率与CapEx回报、待补第一变量、部署量、客户、收入、云边协同成本,细分候选/组内补漏、题材外溢/低纯度观察,回源公告、年报、订单、客户、产能、毛利率和现金流字段、回源年报、IR、产品价格、客户案例和收入/续费字段、按细分补公告、年报、IR或产品页回源,只有发布会/题材标签，未形成付费、续费、合同或收入验证、客户、订单、收入或毛利无法连续验证，CapEx先行但回报不足、无法回源到正式经营变量，维持L0/L1或剔除
002594,比亚迪,2026-07-10,15:35:00,8205.48,新浪财经全市场市值清单,>=100亿元,强制观察,已路由AI候选,否,数据中心与基础设施、终端与具身智能,数据中心(AIDC)、机器人概念,东方财富、同花顺,2,L0/L1,出货、客户定点、BOM价值量、机器人/端侧收入占比、机柜资源、上架率、利用率、融资成本,细分候选/组内补漏、题材外溢/低纯度观察,回源产品页、渠道动销、客户定点、出货、退货率和收入拆分、回源公告/合同/定期报告，补服务期、交付起租、利用率、应收回款和OCF,两个报告期内无收入/回款/利用率改善，或融资成本吞噬利润、定点/出货不兑现，渠道退货高，硬件或订阅收入无法拆出
688041,海光信息,2026-07-10,15:34:59,8204.91,新浪财经全市场市值清单,>=100亿元,强制观察,已路由AI候选,否,待二次归类、计算芯片,AI芯片、中国AI 50、人工智能,东方财富、同花顺,3,L0/L1,待补第一变量、芯片出货、客户导入、国产替代、端侧/推理渗透,细分候选/组内补漏、题材外溢/低纯度观察,回源公告、年报、订单、客户、产能、毛利率和现金流字段、按细分补公告、年报、IR或产品页回源,客户、订单、收入或毛利无法连续验证，CapEx先行但回报不足、无法回源到正式经营变量，维持L0/L1或剔除
601899,紫金矿业,2026-07-10,15:34:59,7370.95,新浪财经全市场市值清单,>=100亿元,强制审计,待路由审计,否,待路由审计,待路由审计,新浪全市场市值清单,0,L0待路由,先判定是否属于AI产业链，再确定第一变量,全市场待路由审计,年报、公告、IR和产品页核对主营业务与AI关系,主营业务与AI产业链无实质关系，标记为非AI并保留审计记录
300502,新易盛,2026-07-10,15:35:45,7292.66,新浪财经全市场市值清单,>=100亿元,强制观察,已路由AI候选,否,待二次归类、高速互联,CPO概念、中国AI 50、光通信模块,东方财富、同花顺,3,L0/L1,待补第一变量、速率升级、客户、订单、ASP、产能利用率,细分候选/组内补漏、题材外溢/低纯度观察,回源公告、年报、订单、客户、产能、毛利率和现金流字段、按细分补公告、年报、IR或产品页回源,客户、订单、收入或毛利无法连续验证，CapEx先行但回报不足、无法回源到正式经营变量，维持L0/L1或剔除
600900,长江电力,2026-07-10,15:34:59,6858.44,新浪财经全市场市值清单,>=100亿元,强制审计,待路由审计,否,待路由审计,待路由审计,新浪全市场市值清单,0,L0待路由,先判定是否属于AI产业链，再确定第一变量,全市场待路由审计,年报、公告、IR和产品页核对主营业务与AI关系,主营业务与AI产业链无实质关系，标记为非AI并保留审计记录
688347,华虹宏力,2026-07-10,15:34:59,6427.33,新浪财经全市场市值清单,>=100亿元,强制审计,待路由审计,否,待路由审计,待路由审计,新浪全市场市值清单,0,L0待路由,先判定是否属于AI产业链，再确定第一变量,全市场待路由审计,年报、公告、IR和产品页核对主营业务与AI关系,主营业务与AI产业链无实质关系，标记为非AI并保留审计记录
601658,邮储银行,2026-07-10,15:34:59,6052.79,新浪财经全市场市值清单,>=100亿元,强制审计,待路由审计,否,待路由审计,待路由审计,新浪全市场市值清单,0,L0待路由,先判定是否属于AI产业链，再确定第一变量,全市场待路由审计,年报、公告、IR和产品页核对主营业务与AI关系,主营业务与AI产业链无实质关系，标记为非AI并保留审计记录
000333,美的集团,2026-07-10,15:35:45,6013.86,新浪财经全市场市值清单,>=100亿元,强制观察,已路由AI候选,否,终端与具身智能,人形机器人,东方财富,1,L0/L1,出货、客户定点、BOM价值量、机器人/端侧收入占比,细分候选/组内补漏,回源产品页、渠道动销、客户定点、出货、退货率和收入拆分,定点/出货不兑现，渠道退货高，硬件或订阅收入无法拆出
601328,XD交通银,2026-07-10,15:34:59,5840.85,新浪财经全市场市值清单,>=100亿元,强制审计,待路由审计,否,待路由审计,待路由审计,新浪全市场市值清单,0,L0待路由,先判定是否属于AI产业链，再确定第一变量,全市场待路由审计,年报、公告、IR和产品页核对主营业务与AI关系,主营业务与AI产业链无实质关系，标记为非AI并保留审计记录
002371,北方华创,2026-07-10,15:35:15,5812.77,新浪财经全市场市值清单,>=100亿元,强制观察,已路由AI候选,否,待二次归类,中国AI 50,同花顺,1,L0/L1,待补第一变量,题材外溢/低纯度观察,按细分补公告、年报、IR或产品页回源,无法回源到正式经营变量，维持L0/L1或剔除
600028,中国石化,2026-07-10,15:34:59,5756.05,新浪财经全市场市值清单,>=100亿元,强制审计,待路由审计,否,待路由审计,待路由审计,新浪全市场市值清单,0,L0待路由,先判定是否属于AI产业链，再确定第一变量,全市场待路由审计,年报、公告、IR和产品页核对主营业务与AI关系,主营业务与AI产业链无实质关系，标记为非AI并保留审计记录
601728,中国电信,2026-07-10,15:34:59,5161.00,新浪财经全市场市值清单,>=100亿元,强制观察,已路由AI候选,否,工具链与基础软件、待二次归类,中国AI 50、人工智能、边缘计算,东方财富、同花顺,3,L0/L1,待补第一变量、部署量、客户、收入、云边协同成本,细分候选/组内补漏、题材外溢/低纯度观察,回源年报、IR、产品价格、客户案例和收入/续费字段、按细分补公告、年报、IR或产品页回源,只有发布会/题材标签，未形成付费、续费、合同或收入验证、无法回源到正式经营变量，维持L0/L1或剔除
002475,立讯精密,2026-07-10,15:35:15,4800.49,新浪财经全市场市值清单,>=100亿元,强制观察,已路由AI候选,否,供配电与温控、数据中心与基础设施、终端与具身智能、高速互联,CPO概念、光通信模块、数据中心、数据中心(AIDC)、机器人概念、机器视觉、液冷服务器、液冷概念、铜缆高速连接,东方财富、同花顺,9,L0/L1,出货、客户定点、BOM价值量、机器人/端侧收入占比、机柜资源、上架率、利用率、融资成本、订单、交付、收入确认、OCF和客户结构、速率升级、客户、订单、ASP、产能利用率,细分候选/组内补漏、题材外溢/低纯度观察,回源产品页、渠道动销、客户定点、出货、退货率和收入拆分、回源公告/合同/定期报告，补服务期、交付起租、利用率、应收回款和OCF、回源公告、年报、订单、客户、产能、毛利率和现金流字段,两个报告期内无收入/回款/利用率改善，或融资成本吞噬利润、定点/出货不兑现，渠道退货高，硬件或订阅收入无法拆出、客户、订单、收入或毛利无法连续验证，CapEx先行但回报不足
002384,东山精密,2026-07-10,15:35:30,4437.99,新浪财经全市场市值清单,>=100亿元,强制观察,已路由AI候选,否,高速互联,光通信模块,东方财富,1,L0/L1,速率升级、客户、订单、ASP、产能利用率,细分候选/组内补漏,回源公告、年报、订单、客户、产能、毛利率和现金流字段,客户、订单、收入或毛利无法连续验证，CapEx先行但回报不足
603986,兆易创新,2026-07-10,15:34:59,4294.68,新浪财经全市场市值清单,>=100亿元,强制观察,已路由AI候选,否,待二次归类,人工智能,东方财富,1,L0/L1,待补第一变量,题材外溢/低纯度观察,按细分补公告、年报、IR或产品页回源,无法回源到正式经营变量，维持L0/L1或剔除
600030,中信证券,2026-07-10,15:34:59,4209.04,新浪财经全市场市值清单,>=100亿元,强制审计,待路由审计,否,待路由审计,待路由审计,新浪全市场市值清单,0,L0待路由,先判定是否属于AI产业链，再确定第一变量,全市场待路由审计,年报、公告、IR和产品页核对主营业务与AI关系,主营业务与AI产业链无实质关系，标记为非AI并保留审计记录
688012,中微公司,2026-07-10,15:34:59,4161.92,新浪财经全市场市值清单,>=100亿元,强制审计,待路由审计,否,待路由审计,待路由审计,新浪全市场市值清单,0,L0待路由,先判定是否属于AI产业链，再确定第一变量,全市场待路由审计,年报、公告、IR和产品页核对主营业务与AI关系,主营业务与AI产业链无实质关系，标记为非AI并保留审计记录
688235,百济神州,2026-07-10,15:34:59,4128.54,新浪财经全市场市值清单,>=100亿元,强制审计,待路由审计,否,待路由审计,待路由审计,新浪全市场市值清单,0,L0待路由,先判定是否属于AI产业链，再确定第一变量,全市场待路由审计,年报、公告、IR和产品页核对主营业务与AI关系,主营业务与AI产业链无实质关系，标记为非AI并保留审计记录
601998,中信银行,2026-07-10,15:34:59,3978.63,新浪财经全市场市值清单,>=100亿元,强制审计,待路由审计,否,待路由审计,待路由审计,新浪全市场市值清单,0,L0待路由,先判定是否属于AI产业链，再确定第一变量,全市场待路由审计,年报、公告、IR和产品页核对主营业务与AI关系,主营业务与AI产业链无实质关系，标记为非AI并保留审计记录
603993,洛阳钼业,2026-07-10,15:34:59,3744.00,新浪财经全市场市值清单,>=100亿元,强制审计,待路由审计,否,待路由审计,待路由审计,新浪全市场市值清单,0,L0待路由,先判定是否属于AI产业链，再确定第一变量,全市场待路由审计,年报、公告、IR和产品页核对主营业务与AI关系,主营业务与AI产业链无实质关系，标记为非AI并保留审计记录
600276,恒瑞医药,2026-07-10,15:34:59,3700.24,新浪财经全市场市值清单,>=100亿元,强制审计,待路由审计,否,待路由审计,待路由审计,新浪全市场市值清单,0,L0待路由,先判定是否属于AI产业链，再确定第一变量,全市场待路由审计,年报、公告、IR和产品页核对主营业务与AI关系,主营业务与AI产业链无实质关系，标记为非AI并保留审计记录
603259,药明康德,2026-07-10,15:34:59,3678.97,新浪财经全市场市值清单,>=100亿元,强制审计,待路由审计,否,待路由审计,待路由审计,新浪全市场市值清单,0,L0待路由,先判定是否属于AI产业链，再确定第一变量,全市场待路由审计,年报、公告、IR和产品页核对主营业务与AI关系,主营业务与AI产业链无实质关系，标记为非AI并保留审计记录
601166,兴业银行,2026-07-10,15:34:59,3667.52,新浪财经全市场市值清单,>=100亿元,强制审计,待路由审计,否,待路由审计,待路由审计,新浪全市场市值清单,0,L0待路由,先判定是否属于AI产业链，再确定第一变量,全市场待路由审计,年报、公告、IR和产品页核对主营业务与AI关系,主营业务与AI产业链无实质关系，标记为非AI并保留审计记录
688802,沐曦股份-U,2026-07-10,15:34:59,3638.31,新浪财经全市场市值清单,>=100亿元,强制观察,已路由AI候选,否,计算芯片,AI芯片,东方财富,1,L0/L1,芯片出货、客户导入、国产替代、端侧/推理渗透,细分候选/组内补漏,回源公告、年报、订单、客户、产能、毛利率和现金流字段,客户、订单、收入或毛利无法连续验证，CapEx先行但回报不足
600183,生益科技,2026-07-10,15:34:59,3628.86,新浪财经全市场市值清单,>=100亿元,强制观察,已路由AI候选,否,存储链、高速互联,PCB、存储芯片,东方财富,2,L0/L1,价格、出货、客户绑定、测试/封测配套收入、速率升级、客户、订单、ASP、产能利用率,细分候选/组内补漏,回源公告、年报、订单、客户、产能、毛利率和现金流字段,客户、订单、收入或毛利无法连续验证，CapEx先行但回报不足
688820,盛合晶微,2026-07-10,15:34:59,3575.78,新浪财经全市场市值清单,>=100亿元,强制审计,待路由审计,否,待路由审计,待路由审计,新浪全市场市值清单,0,L0待路由,先判定是否属于AI产业链，再确定第一变量,全市场待路由审计,年报、公告、IR和产品页核对主营业务与AI关系,主营业务与AI产业链无实质关系，标记为非AI并保留审计记录
601869,长飞光纤,2026-07-10,15:34:59,3436.05,新浪财经全市场市值清单,>=100亿元,强制审计,待路由审计,否,待路由审计,待路由审计,新浪全市场市值清单,0,L0待路由,先判定是否属于AI产业链，再确定第一变量,全市场待路由审计,年报、公告、IR和产品页核对主营业务与AI关系,主营业务与AI产业链无实质关系，标记为非AI并保留审计记录
688795,摩尔线程-U,2026-07-10,15:34:59,3294.94,新浪财经全市场市值清单,>=100亿元,强制观察,已路由AI候选,否,计算芯片,AI芯片,东方财富,1,L0/L1,芯片出货、客户导入、国产替代、端侧/推理渗透,细分候选/组内补漏,回源公告、年报、订单、客户、产能、毛利率和现金流字段,客户、订单、收入或毛利无法连续验证，CapEx先行但回报不足
688008,澜起科技,2026-07-10,15:34:59,3271.77,新浪财经全市场市值清单,>=100亿元,强制观察,已路由AI候选,否,待二次归类、终端与具身智能,AIPC、人工智能,东方财富,2,L0/L1,出货、客户定点、BOM价值量、机器人/端侧收入占比、待补第一变量,细分候选/组内补漏、题材外溢/低纯度观察,回源产品页、渠道动销、客户定点、出货、退货率和收入拆分、按细分补公告、年报、IR或产品页回源,定点/出货不兑现，渠道退货高，硬件或订阅收入无法拆出、无法回源到正式经营变量，维持L0/L1或剔除
601211,国泰海通,2026-07-10,15:34:59,3226.09,新浪财经全市场市值清单,>=100亿元,强制审计,待路由审计,否,待路由审计,待路由审计,新浪全市场市值清单,0,L0待路由,先判定是否属于AI产业链，再确定第一变量,全市场待路由审计,年报、公告、IR和产品页核对主营业务与AI关系,主营业务与AI产业链无实质关系，标记为非AI并保留审计记录
300059,东方财富,2026-07-10,15:35:00,3194.50,新浪财经全市场市值清单,>=100亿元,强制观察,已路由AI候选,否,待二次归类、终端与具身智能,人工智能、虚拟机器人,东方财富,2,L0/L1,出货、客户定点、BOM价值量、机器人/端侧收入占比、待补第一变量,细分候选/组内补漏、题材外溢/低纯度观察,回源产品页、渠道动销、客户定点、出货、退货率和收入拆分、按细分补公告、年报、IR或产品页回源,定点/出货不兑现，渠道退货高，硬件或订阅收入无法拆出、无法回源到正式经营变量，维持L0/L1或剔除
002415,海康威视,2026-07-10,15:35:00,3157.30,新浪财经全市场市值清单,>=100亿元,强制观察,已路由AI候选,否,工具链与基础软件、待二次归类、终端与具身智能,人工智能、机器人概念、边缘计算,东方财富,3,L0/L1,出货、客户定点、BOM价值量、机器人/端侧收入占比、待补第一变量、部署量、客户、收入、云边协同成本,细分候选/组内补漏、题材外溢/低纯度观察,回源产品页、渠道动销、客户定点、出货、退货率和收入拆分、回源年报、IR、产品价格、客户案例和收入/续费字段、按细分补公告、年报、IR或产品页回源,只有发布会/题材标签，未形成付费、续费、合同或收入验证、定点/出货不兑现，渠道退货高，硬件或订阅收入无法拆出、无法回源到正式经营变量，维持L0/L1或剔除
601319,中国人保,2026-07-10,15:34:59,3122.21,新浪财经全市场市值清单,>=100亿元,强制审计,待路由审计,否,待路由审计,待路由审计,新浪全市场市值清单,0,L0待路由,先判定是否属于AI产业链，再确定第一变量,全市场待路由审计,年报、公告、IR和产品页核对主营业务与AI关系,主营业务与AI产业链无实质关系，标记为非AI并保留审计记录
600000,浦发银行,2026-07-10,15:34:59,3017.51,新浪财经全市场市值清单,>=100亿元,强制审计,待路由审计,否,待路由审计,待路由审计,新浪全市场市值清单,0,L0待路由,先判定是否属于AI产业链，再确定第一变量,全市场待路由审计,年报、公告、IR和产品页核对主营业务与AI关系,主营业务与AI产业链无实质关系，标记为非AI并保留审计记录
300394,天孚通信,2026-07-10,15:35:15,2957.44,新浪财经全市场市值清单,>=100亿元,强制审计,待路由审计,否,待路由审计,待路由审计,新浪全市场市值清单,0,L0待路由,先判定是否属于AI产业链，再确定第一变量,全市场待路由审计,年报、公告、IR和产品页核对主营业务与AI关系,主营业务与AI产业链无实质关系，标记为非AI并保留审计记录
002916,深南电路,2026-07-10,15:35:15,2901.77,新浪财经全市场市值清单,>=100亿元,强制观察,已路由AI候选,否,存储链、数据中心与基础设施、计算芯片、高速互联,PCB、国产芯片、存储芯片、数据中心(AIDC),东方财富、同花顺,4,L0/L1,价格、出货、客户绑定、测试/封测配套收入、机柜资源、上架率、利用率、融资成本、芯片出货、客户导入、国产替代、端侧/推理渗透、速率升级、客户、订单、ASP、产能利用率,细分候选/组内补漏、题材外溢/低纯度观察,回源公告/合同/定期报告，补服务期、交付起租、利用率、应收回款和OCF、回源公告、年报、订单、客户、产能、毛利率和现金流字段,两个报告期内无收入/回款/利用率改善，或融资成本吞噬利润、客户、订单、收入或毛利无法连续验证，CapEx先行但回报不足
000858,五 粮 液,2026-07-10,15:35:15,2860.36,新浪财经全市场市值清单,>=100亿元,强制审计,待路由审计,否,待路由审计,待路由审计,新浪全市场市值清单,0,L0待路由,先判定是否属于AI产业链，再确定第一变量,全市场待路由审计,年报、公告、IR和产品页核对主营业务与AI关系,主营业务与AI产业链无实质关系，标记为非AI并保留审计记录
601601,中国太保,2026-07-10,15:34:59,2849.55,新浪财经全市场市值清单,>=100亿元,强制审计,待路由审计,否,待路由审计,待路由审计,新浪全市场市值清单,0,L0待路由,先判定是否属于AI产业链，再确定第一变量,全市场待路由审计,年报、公告、IR和产品页核对主营业务与AI关系,主营业务与AI产业链无实质关系，标记为非AI并保留审计记录
000725,京东方Ａ,2026-07-10,15:36:00,2811.66,新浪财经全市场市值清单,>=100亿元,强制观察,已路由AI候选,否,待二次归类,人工智能,东方财富,1,L0/L1,待补第一变量,题材外溢/低纯度观察,按细分补公告、年报、IR或产品页回源,无法回源到正式经营变量，维持L0/L1或剔除
600150,中国船舶,2026-07-10,15:34:59,2787.49,新浪财经全市场市值清单,>=100亿元,强制审计,待路由审计,否,待路由审计,待路由审计,新浪全市场市值清单,0,L0待路由,先判定是否属于AI产业链，再确定第一变量,全市场待路由审计,年报、公告、IR和产品页核对主营业务与AI关系,主营业务与AI产业链无实质关系，标记为非AI并保留审计记录
001399,惠科股份,2026-07-10,15:35:15,2702.39,新浪财经全市场市值清单,>=100亿元,强制审计,待路由审计,否,待路由审计,待路由审计,新浪全市场市值清单,0,L0待路由,先判定是否属于AI产业链，再确定第一变量,全市场待路由审计,年报、公告、IR和产品页核对主营业务与AI关系,主营业务与AI产业链无实质关系，标记为非AI并保留审计记录
300476,胜宏科技,2026-07-10,15:35:30,2673.17,新浪财经全市场市值清单,>=100亿元,强制观察,已路由AI候选,否,终端与具身智能,人形机器人、机器人概念,东方财富,2,L0/L1,出货、客户定点、BOM价值量、机器人/端侧收入占比,细分候选/组内补漏、题材外溢/低纯度观察,回源产品页、渠道动销、客户定点、出货、退货率和收入拆分,定点/出货不兑现，渠道退货高，硬件或订阅收入无法拆出
300408,三环集团,2026-07-10,15:35:45,2525.58,新浪财经全市场市值清单,>=100亿元,强制审计,待路由审计,否,待路由审计,待路由审计,新浪全市场市值清单,0,L0待路由,先判定是否属于AI产业链，再确定第一变量,全市场待路由审计,年报、公告、IR和产品页核对主营业务与AI关系,主营业务与AI产业链无实质关系，标记为非AI并保留审计记录
002463,沪电股份,2026-07-10,15:35:45,2490.90,新浪财经全市场市值清单,>=100亿元,强制审计,待路由审计,否,待路由审计,待路由审计,新浪全市场市值清单,0,L0待路由,先判定是否属于AI产业链，再确定第一变量,全市场待路由审计,年报、公告、IR和产品页核对主营业务与AI关系,主营业务与AI产业链无实质关系，标记为非AI并保留审计记录
301308,江波龙,2026-07-10,15:35:30,2485.91,新浪财经全市场市值清单,>=100亿元,强制观察,已路由AI候选,否,终端与具身智能,AIPC、AI手机、机器人概念,东方财富,3,L0/L1,出货、客户定点、BOM价值量、机器人/端侧收入占比,细分候选/组内补漏、题材外溢/低纯度观察,回源产品页、渠道动销、客户定点、出货、退货率和收入拆分,定点/出货不兑现，渠道退货高，硬件或订阅收入无法拆出
301666,大普微,2026-07-10,15:35:30,2452.84,新浪财经全市场市值清单,>=100亿元,强制审计,待路由审计,否,待路由审计,待路由审计,新浪全市场市值清单,0,L0待路由,先判定是否属于AI产业链，再确定第一变量,全市场待路由审计,年报、公告、IR和产品页核对主营业务与AI关系,主营业务与AI产业链无实质关系，标记为非AI并保留审计记录
688072,拓荆科技,2026-07-10,15:35:28,2418.45,新浪财经全市场市值清单,>=100亿元,强制审计,待路由审计,否,待路由审计,待路由审计,新浪全市场市值清单,0,L0待路由,先判定是否属于AI产业链，再确定第一变量,全市场待路由审计,年报、公告、IR和产品页核对主营业务与AI关系,主营业务与AI产业链无实质关系，标记为非AI并保留审计记录
000338,潍柴动力,2026-07-10,15:36:00,2388.15,新浪财经全市场市值清单,>=100亿元,强制观察,已路由AI候选,否,应用平台、数据中心与基础设施,AI智能体、数据中心、数据中心(AIDC),东方财富、同花顺,3,L0/L1,付费客户、续费、项目收入、调用量、OCF、机柜资源、上架率、利用率、融资成本,细分候选/组内补漏,回源公告/合同/定期报告，补服务期、交付起租、利用率、应收回款和OCF、回源年报、IR、产品价格、客户案例和收入/续费字段,两个报告期内无收入/回款/利用率改善，或融资成本吞噬利润、只有发布会/题材标签，未形成付费、续费、合同或收入验证
300274,阳光电源,2026-07-10,15:35:30,2379.84,新浪财经全市场市值清单,>=100亿元,强制审计,待路由审计,否,待路由审计,待路由审计,新浪全市场市值清单,0,L0待路由,先判定是否属于AI产业链，再确定第一变量,全市场待路由审计,年报、公告、IR和产品页核对主营业务与AI关系,主营业务与AI产业链无实质关系，标记为非AI并保留审计记录
300433,蓝思科技,2026-07-10,15:35:45,2303.64,新浪财经全市场市值清单,>=100亿元,强制观察,已路由AI候选,否,供配电与温控、终端与具身智能,AIPC、人形机器人、减速器、机器人概念、液冷服务器,东方财富、同花顺,5,L0/L1,出货、客户定点、BOM价值量、机器人/端侧收入占比、订单、交付、收入确认、OCF和客户结构,细分候选/组内补漏、题材外溢/低纯度观察,回源产品页、渠道动销、客户定点、出货、退货率和收入拆分、回源公告、年报、订单、客户、产能、毛利率和现金流字段,定点/出货不兑现，渠道退货高，硬件或订阅收入无法拆出、客户、订单、收入或毛利无法连续验证，CapEx先行但回报不足
