代码,标的,市值快照日期,快照时间,总市值(亿元),市值来源,市值状态,观察状态,AI路由状态,边界复核,主层级,细分,来源网站,来源条数,当前等级,第一变量,样本角色,下一步回源,证伪点,路由结论,审计状态,建议主层级,建议细分,业务证据等级,业务证据来源,业务证据抓取日期,公司类型,主营业务,判定理由,下一步动作
601138,工业富联,2026-07-10,15:34:59,13150.68,新浪财经全市场市值清单,>=100亿元,强制观察,已路由AI候选,否,待二次归类、终端与具身智能、高速互联,CPO概念、人工智能、机器人概念,东方财富,3,L0/L1,出货、客户定点、BOM价值量、机器人/端侧收入占比、待补第一变量、速率升级、客户、订单、ASP、产能利用率,细分候选/组内补漏、题材外溢/低纯度观察,回源产品页、渠道动销、客户定点、出货、退货率和收入拆分、回源公告、年报、订单、客户、产能、毛利率和现金流字段、按细分补公告、年报、IR或产品页回源,定点/出货不兑现，渠道退货高，硬件或订阅收入无法拆出、客户、订单、收入或毛利无法连续验证，CapEx先行但回报不足、无法回源到正式经营变量，维持L0/L1或剔除,AI产业链相关,已路由,待二次归类、终端与具身智能、高速互联,CPO概念、人工智能、机器人概念,沿用既有候选池,既有AI候选宇宙,2026-07-12,,,该代码已在既有AI候选宇宙中路由；本批不以门户资料重复判定。,回源产品页、渠道动销、客户定点、出货、退货率和收入拆分、回源公告、年报、订单、客户、产能、毛利率和现金流字段、按细分补公告、年报、IR或产品页回源
300308,中际旭创,2026-07-10,15:35:15,12200.44,新浪财经全市场市值清单,>=100亿元,强制观察,已路由AI候选,否,待二次归类,中国AI 50,同花顺,1,L0/L1,待补第一变量,题材外溢/低纯度观察,按细分补公告、年报、IR或产品页回源,无法回源到正式经营变量，维持L0/L1或剔除,AI产业链相关,已路由,待二次归类,中国AI 50,沿用既有候选池,既有AI候选宇宙,2026-07-12,,,该代码已在既有AI候选宇宙中路由；本批不以门户资料重复判定。,按细分补公告、年报、IR或产品页回源
601628,中国人寿,2026-07-10,15:34:59,10576.65,新浪财经全市场市值清单,>=100亿元,强制审计,待路由审计,否,待路由审计,待路由审计,新浪全市场市值清单,0,不适用,先判定是否属于AI产业链，再确定第一变量,全市场待路由审计,年报、公告、IR和产品页核对主营业务与AI关系,主营业务与AI产业链无实质关系，标记为非AI并保留审计记录,非AI,已初筛,非AI,金融服务,B,http://vip.stock.finance.sina.com.cn/corp/go.php/vCI_CorpInfo/stockid/601628.phtml,2026-07-12,寿险公司,提供人寿保险及年金产品。,主营业务出现“人寿保险”，当前可见主业属于金融服务，未见直接AI产业链产品或服务。,保留审计记录；如后续年报、公告或产品页披露直接AI产业链产品，再重新路由。
600036,XD招商银,2026-07-10,15:34:59,9301.08,新浪财经全市场市值清单,>=100亿元,强制审计,待路由审计,否,待路由审计,待路由审计,新浪全市场市值清单,0,不适用,先判定是否属于AI产业链，再确定第一变量,全市场待路由审计,年报、公告、IR和产品页核对主营业务与AI关系,主营业务与AI产业链无实质关系，标记为非AI并保留审计记录,非AI,已初筛,非AI,金融服务,B,http://vip.stock.finance.sina.com.cn/corp/go.php/vCI_CorpInfo/stockid/600036.phtml,2026-07-12,股份制商业银行,吸收社会公众存款、发放短期和中长期贷款、结算、办理票据贴现、发行金融债券、代理发行、代理兑付及承销政府债券、买卖政府债券、同业拆借等。,主营业务出现“商业银行”，当前可见主业属于金融服务，未见直接AI产业链产品或服务。,保留审计记录；如后续年报、公告或产品页披露直接AI产业链产品，再重新路由。
601088,中国神华,2026-07-10,15:34:59,9118.24,新浪财经全市场市值清单,>=100亿元,强制审计,待路由审计,否,待路由审计,待路由审计,新浪全市场市值清单,0,不适用,先判定是否属于AI产业链，再确定第一变量,全市场待路由审计,年报、公告、IR和产品页核对主营业务与AI关系,主营业务与AI产业链无实质关系，标记为非AI并保留审计记录,非AI,已初筛,非AI,传统能源开采,B,http://vip.stock.finance.sina.com.cn/corp/go.php/vCI_CorpInfo/stockid/601088.phtml,2026-07-12,其它,"煤炭和电力的生产与销售、铁路和港口运输,航运业务,煤制烯烃业务。",主营业务出现“煤炭”，当前可见主业属于传统能源开采，未见直接AI产业链产品或服务。,保留审计记录；如后续年报、公告或产品页披露直接AI产业链产品，再重新路由。
601318,中国平安,2026-07-10,15:34:59,8959.66,新浪财经全市场市值清单,>=100亿元,强制审计,待路由审计,否,待路由审计,待路由审计,新浪全市场市值清单,0,不适用,先判定是否属于AI产业链，再确定第一变量,全市场待路由审计,年报、公告、IR和产品页核对主营业务与AI关系,主营业务与AI产业链无实质关系，标记为非AI并保留审计记录,非AI,已初筛,非AI,金融服务,B,http://vip.stock.finance.sina.com.cn/corp/go.php/vCI_CorpInfo/stockid/601318.phtml,2026-07-12,综合保险公司,"以保险业务为核心,以统一品牌向客户提供包括保险、银行、证券、信托等多元化金融服务。",主营业务出现“保险业务”，当前可见主业属于金融服务，未见直接AI产业链产品或服务。,保留审计记录；如后续年报、公告或产品页披露直接AI产业链产品，再重新路由。
688256,寒武纪,2026-07-10,15:34:59,8796.10,新浪财经全市场市值清单,>=100亿元,强制观察,已路由AI候选,否,先进封装、工具链与基础软件、待二次归类,中国AI 50、人工智能、先进封装、边缘计算,东方财富、同花顺,4,L0/L1,封装产能、客户、订单、良率与CapEx回报、待补第一变量、部署量、客户、收入、云边协同成本,细分候选/组内补漏、题材外溢/低纯度观察,回源公告、年报、订单、客户、产能、毛利率和现金流字段、回源年报、IR、产品价格、客户案例和收入/续费字段、按细分补公告、年报、IR或产品页回源,只有发布会/题材标签，未形成付费、续费、合同或收入验证、客户、订单、收入或毛利无法连续验证，CapEx先行但回报不足、无法回源到正式经营变量，维持L0/L1或剔除,AI产业链相关,已路由,先进封装、工具链与基础软件、待二次归类,中国AI 50、人工智能、先进封装、边缘计算,沿用既有候选池,既有AI候选宇宙,2026-07-12,,,该代码已在既有AI候选宇宙中路由；本批不以门户资料重复判定。,回源公告、年报、订单、客户、产能、毛利率和现金流字段、回源年报、IR、产品价格、客户案例和收入/续费字段、按细分补公告、年报、IR或产品页回源
002594,比亚迪,2026-07-10,15:35:00,8205.48,新浪财经全市场市值清单,>=100亿元,强制观察,已路由AI候选,否,数据中心与基础设施、终端与具身智能,数据中心(AIDC)、机器人概念,东方财富、同花顺,2,L0/L1,出货、客户定点、BOM价值量、机器人/端侧收入占比、机柜资源、上架率、利用率、融资成本,细分候选/组内补漏、题材外溢/低纯度观察,回源产品页、渠道动销、客户定点、出货、退货率和收入拆分、回源公告/合同/定期报告，补服务期、交付起租、利用率、应收回款和OCF,两个报告期内无收入/回款/利用率改善，或融资成本吞噬利润、定点/出货不兑现，渠道退货高，硬件或订阅收入无法拆出,AI产业链相关,已路由,数据中心与基础设施、终端与具身智能,数据中心(AIDC)、机器人概念,沿用既有候选池,既有AI候选宇宙,2026-07-12,,,该代码已在既有AI候选宇宙中路由；本批不以门户资料重复判定。,回源产品页、渠道动销、客户定点、出货、退货率和收入拆分、回源公告/合同/定期报告，补服务期、交付起租、利用率、应收回款和OCF
688041,海光信息,2026-07-10,15:34:59,8204.91,新浪财经全市场市值清单,>=100亿元,强制观察,已路由AI候选,否,待二次归类、计算芯片,AI芯片、中国AI 50、人工智能,东方财富、同花顺,3,L0/L1,待补第一变量、芯片出货、客户导入、国产替代、端侧/推理渗透,细分候选/组内补漏、题材外溢/低纯度观察,回源公告、年报、订单、客户、产能、毛利率和现金流字段、按细分补公告、年报、IR或产品页回源,客户、订单、收入或毛利无法连续验证，CapEx先行但回报不足、无法回源到正式经营变量，维持L0/L1或剔除,AI产业链相关,已路由,待二次归类、计算芯片,AI芯片、中国AI 50、人工智能,沿用既有候选池,既有AI候选宇宙,2026-07-12,,,该代码已在既有AI候选宇宙中路由；本批不以门户资料重复判定。,回源公告、年报、订单、客户、产能、毛利率和现金流字段、按细分补公告、年报、IR或产品页回源
601899,紫金矿业,2026-07-10,15:34:59,7370.95,新浪财经全市场市值清单,>=100亿元,强制审计,待路由审计,否,待路由审计,待路由审计,新浪全市场市值清单,0,L0待补证,先判定是否属于AI产业链，再确定第一变量,全市场待路由审计,年报、公告、IR和产品页核对主营业务与AI关系,主营业务与AI产业链无实质关系，标记为非AI并保留审计记录,信息不足,待补证,待补证,待核主营业务与AI关系,B,http://vip.stock.finance.sina.com.cn/corp/go.php/vCI_CorpInfo/stockid/601899.phtml,2026-07-12,其它,矿产资源勘查和开发。,主营业务未出现可直接定位的AI产业链产品；泛材料、通用制造、电力与基础设施不因名称或概念标签强行归类。,优先回源年报、公告、投关材料或官网产品页，确认是否承担AI关键零部件、原材料、设备或基础设施供给。
300502,新易盛,2026-07-10,15:35:45,7292.66,新浪财经全市场市值清单,>=100亿元,强制观察,已路由AI候选,否,待二次归类、高速互联,CPO概念、中国AI 50、光通信模块,东方财富、同花顺,3,L0/L1,待补第一变量、速率升级、客户、订单、ASP、产能利用率,细分候选/组内补漏、题材外溢/低纯度观察,回源公告、年报、订单、客户、产能、毛利率和现金流字段、按细分补公告、年报、IR或产品页回源,客户、订单、收入或毛利无法连续验证，CapEx先行但回报不足、无法回源到正式经营变量，维持L0/L1或剔除,AI产业链相关,已路由,待二次归类、高速互联,CPO概念、中国AI 50、光通信模块,沿用既有候选池,既有AI候选宇宙,2026-07-12,,,该代码已在既有AI候选宇宙中路由；本批不以门户资料重复判定。,回源公告、年报、订单、客户、产能、毛利率和现金流字段、按细分补公告、年报、IR或产品页回源
600900,长江电力,2026-07-10,15:34:59,6858.44,新浪财经全市场市值清单,>=100亿元,强制审计,待路由审计,否,待路由审计,待路由审计,新浪全市场市值清单,0,L0待补证,先判定是否属于AI产业链，再确定第一变量,全市场待路由审计,年报、公告、IR和产品页核对主营业务与AI关系,主营业务与AI产业链无实质关系，标记为非AI并保留审计记录,信息不足,待补证,待补证,待核主营业务与AI关系,B,http://vip.stock.finance.sina.com.cn/corp/go.php/vCI_CorpInfo/stockid/600900.phtml,2026-07-12,其它,大型水电运营。,主营业务未出现可直接定位的AI产业链产品；泛材料、通用制造、电力与基础设施不因名称或概念标签强行归类。,优先回源年报、公告、投关材料或官网产品页，确认是否承担AI关键零部件、原材料、设备或基础设施供给。
688347,华虹宏力,2026-07-10,15:34:59,6427.33,新浪财经全市场市值清单,>=100亿元,强制审计,待路由审计,否,待路由审计,待路由审计,新浪全市场市值清单,0,L0,先判定是否属于AI产业链，再确定第一变量,全市场待路由审计,年报、公告、IR和产品页核对主营业务与AI关系,主营业务与AI产业链无实质关系，标记为非AI并保留审计记录,AI产业链相关,已初筛,芯片制造与材料,半导体设备/晶圆制造/半导体材料,B,http://vip.stock.finance.sina.com.cn/corp/go.php/vCI_CorpInfo/stockid/688347.phtml,2026-07-12,其它,华虹半导体有限公司是一家主要从事特色工艺晶圆代工的中国投资控股公司。该公司提供包括嵌入式/独立式非易失性存储器、功率器件、模拟与电源管理、逻辑与射频等多元化特色工艺平台的晶圆代工及配套服务。该公司还从事提供包括知识产权（IP）设计、测试等配套服务。该公司主要在国内市场从事其业务。,主营业务或公司类型出现“晶圆代工”，可定位为半导体设备/晶圆制造/半导体材料的直接供给或服务线索。,回源年报、公告、投关材料或官网产品页，核对产品、客户、收入与AI业务纯度后再升级。
601658,邮储银行,2026-07-10,15:34:59,6052.79,新浪财经全市场市值清单,>=100亿元,强制审计,待路由审计,否,待路由审计,待路由审计,新浪全市场市值清单,0,不适用,先判定是否属于AI产业链，再确定第一变量,全市场待路由审计,年报、公告、IR和产品页核对主营业务与AI关系,主营业务与AI产业链无实质关系，标记为非AI并保留审计记录,非AI,已初筛,非AI,金融服务,B,http://vip.stock.finance.sina.com.cn/corp/go.php/vCI_CorpInfo/stockid/601658.phtml,2026-07-12,国有商业银行,"中国邮政储蓄银行股份有限公司在中国提供银行及相关金融服务。该银行主要通过个人银行、企业银行及资金业务运营。个人银行业务向个人客户提供多种产品及服务,包括人民币及外汇存储、贷款、银行卡及中间业务产品及服务。企业银行业务为企业客户提供多样化金融产品及服务,包括企业贷款、贴现票据、企业存款及中间业务产品及服务,如:结算、票据管理、现金管理、投资银行、托管及公司理财。资金业务主要包括金融市场业务,如:市场交易、投资、同业融资及票据贴现。资金业务还包括资产管理。",主营业务出现“商业银行”，当前可见主业属于金融服务，未见直接AI产业链产品或服务。,保留审计记录；如后续年报、公告或产品页披露直接AI产业链产品，再重新路由。
000333,美的集团,2026-07-10,15:35:45,6013.86,新浪财经全市场市值清单,>=100亿元,强制观察,已路由AI候选,否,终端与具身智能,人形机器人,东方财富,1,L0/L1,出货、客户定点、BOM价值量、机器人/端侧收入占比,细分候选/组内补漏,回源产品页、渠道动销、客户定点、出货、退货率和收入拆分,定点/出货不兑现，渠道退货高，硬件或订阅收入无法拆出,AI产业链相关,已路由,终端与具身智能,人形机器人,沿用既有候选池,既有AI候选宇宙,2026-07-12,,,该代码已在既有AI候选宇宙中路由；本批不以门户资料重复判定。,回源产品页、渠道动销、客户定点、出货、退货率和收入拆分
601328,XD交通银,2026-07-10,15:34:59,5840.85,新浪财经全市场市值清单,>=100亿元,强制审计,待路由审计,否,待路由审计,待路由审计,新浪全市场市值清单,0,不适用,先判定是否属于AI产业链，再确定第一变量,全市场待路由审计,年报、公告、IR和产品页核对主营业务与AI关系,主营业务与AI产业链无实质关系，标记为非AI并保留审计记录,非AI,已初筛,非AI,金融服务,B,http://vip.stock.finance.sina.com.cn/corp/go.php/vCI_CorpInfo/stockid/601328.phtml,2026-07-12,国有商业银行,公司金融业务、个人金融业务、同业与金融市场业务。,主营业务出现“商业银行”，当前可见主业属于金融服务，未见直接AI产业链产品或服务。,保留审计记录；如后续年报、公告或产品页披露直接AI产业链产品，再重新路由。
002371,北方华创,2026-07-10,15:35:15,5812.77,新浪财经全市场市值清单,>=100亿元,强制观察,已路由AI候选,否,待二次归类,中国AI 50,同花顺,1,L0/L1,待补第一变量,题材外溢/低纯度观察,按细分补公告、年报、IR或产品页回源,无法回源到正式经营变量，维持L0/L1或剔除,AI产业链相关,已路由,待二次归类,中国AI 50,沿用既有候选池,既有AI候选宇宙,2026-07-12,,,该代码已在既有AI候选宇宙中路由；本批不以门户资料重复判定。,按细分补公告、年报、IR或产品页回源
600028,中国石化,2026-07-10,15:34:59,5756.05,新浪财经全市场市值清单,>=100亿元,强制审计,待路由审计,否,待路由审计,待路由审计,新浪全市场市值清单,0,不适用,先判定是否属于AI产业链，再确定第一变量,全市场待路由审计,年报、公告、IR和产品页核对主营业务与AI关系,主营业务与AI产业链无实质关系，标记为非AI并保留审计记录,非AI,已初筛,非AI,传统能源开采,B,http://vip.stock.finance.sina.com.cn/corp/go.php/vCI_CorpInfo/stockid/600028.phtml,2026-07-12,其它,石油与天然气勘探开采、管道运输、销售;石油炼制、石油化工、化纤、化肥及其它化工生产与产品销售、储运;石油、天然气、石油产品、石油化工及其它化工产品和其它商品、技术的进出口、代理进出口业务;技术、信息的研究、开发、应用。,主营业务出现“天然气”，当前可见主业属于传统能源开采，未见直接AI产业链产品或服务。,保留审计记录；如后续年报、公告或产品页披露直接AI产业链产品，再重新路由。
601728,中国电信,2026-07-10,15:34:59,5161.00,新浪财经全市场市值清单,>=100亿元,强制观察,已路由AI候选,否,工具链与基础软件、待二次归类,中国AI 50、人工智能、边缘计算,东方财富、同花顺,3,L0/L1,待补第一变量、部署量、客户、收入、云边协同成本,细分候选/组内补漏、题材外溢/低纯度观察,回源年报、IR、产品价格、客户案例和收入/续费字段、按细分补公告、年报、IR或产品页回源,只有发布会/题材标签，未形成付费、续费、合同或收入验证、无法回源到正式经营变量，维持L0/L1或剔除,AI产业链相关,已路由,工具链与基础软件、待二次归类,中国AI 50、人工智能、边缘计算,沿用既有候选池,既有AI候选宇宙,2026-07-12,,,该代码已在既有AI候选宇宙中路由；本批不以门户资料重复判定。,回源年报、IR、产品价格、客户案例和收入/续费字段、按细分补公告、年报、IR或产品页回源
002475,立讯精密,2026-07-10,15:35:15,4800.49,新浪财经全市场市值清单,>=100亿元,强制观察,已路由AI候选,否,供配电与温控、数据中心与基础设施、终端与具身智能、高速互联,CPO概念、光通信模块、数据中心、数据中心(AIDC)、机器人概念、机器视觉、液冷服务器、液冷概念、铜缆高速连接,东方财富、同花顺,9,L0/L1,出货、客户定点、BOM价值量、机器人/端侧收入占比、机柜资源、上架率、利用率、融资成本、订单、交付、收入确认、OCF和客户结构、速率升级、客户、订单、ASP、产能利用率,细分候选/组内补漏、题材外溢/低纯度观察,回源产品页、渠道动销、客户定点、出货、退货率和收入拆分、回源公告/合同/定期报告，补服务期、交付起租、利用率、应收回款和OCF、回源公告、年报、订单、客户、产能、毛利率和现金流字段,两个报告期内无收入/回款/利用率改善，或融资成本吞噬利润、定点/出货不兑现，渠道退货高，硬件或订阅收入无法拆出、客户、订单、收入或毛利无法连续验证，CapEx先行但回报不足,AI产业链相关,已路由,供配电与温控、数据中心与基础设施、终端与具身智能、高速互联,CPO概念、光通信模块、数据中心、数据中心(AIDC)、机器人概念、机器视觉、液冷服务器、液冷概念、铜缆高速连接,沿用既有候选池,既有AI候选宇宙,2026-07-12,,,该代码已在既有AI候选宇宙中路由；本批不以门户资料重复判定。,回源产品页、渠道动销、客户定点、出货、退货率和收入拆分、回源公告/合同/定期报告，补服务期、交付起租、利用率、应收回款和OCF、回源公告、年报、订单、客户、产能、毛利率和现金流字段
002384,东山精密,2026-07-10,15:35:30,4437.99,新浪财经全市场市值清单,>=100亿元,强制观察,已路由AI候选,否,高速互联,光通信模块,东方财富,1,L0/L1,速率升级、客户、订单、ASP、产能利用率,细分候选/组内补漏,回源公告、年报、订单、客户、产能、毛利率和现金流字段,客户、订单、收入或毛利无法连续验证，CapEx先行但回报不足,AI产业链相关,已路由,高速互联,光通信模块,沿用既有候选池,既有AI候选宇宙,2026-07-12,,,该代码已在既有AI候选宇宙中路由；本批不以门户资料重复判定。,回源公告、年报、订单、客户、产能、毛利率和现金流字段
603986,兆易创新,2026-07-10,15:34:59,4294.68,新浪财经全市场市值清单,>=100亿元,强制观察,已路由AI候选,否,待二次归类,人工智能,东方财富,1,L0/L1,待补第一变量,题材外溢/低纯度观察,按细分补公告、年报、IR或产品页回源,无法回源到正式经营变量，维持L0/L1或剔除,AI产业链相关,已路由,待二次归类,人工智能,沿用既有候选池,既有AI候选宇宙,2026-07-12,,,该代码已在既有AI候选宇宙中路由；本批不以门户资料重复判定。,按细分补公告、年报、IR或产品页回源
600030,中信证券,2026-07-10,15:34:59,4209.04,新浪财经全市场市值清单,>=100亿元,强制审计,待路由审计,否,待路由审计,待路由审计,新浪全市场市值清单,0,不适用,先判定是否属于AI产业链，再确定第一变量,全市场待路由审计,年报、公告、IR和产品页核对主营业务与AI关系,主营业务与AI产业链无实质关系，标记为非AI并保留审计记录,非AI,已初筛,非AI,金融服务,B,http://vip.stock.finance.sina.com.cn/corp/go.php/vCI_CorpInfo/stockid/600030.phtml,2026-07-12,证券公司,证券经纪、证券承销与保荐、证券资产管理、证券自营等业务等。,主营业务出现“证券经纪”，当前可见主业属于金融服务，未见直接AI产业链产品或服务。,保留审计记录；如后续年报、公告或产品页披露直接AI产业链产品，再重新路由。
