"kind","name","status","wiki_path","wiki_sync_status","wiki_skip_reason","score","action","has_industry_logic","has_valuation_funds","has_technical_structure","has_score_reason","has_evidence_source","has_history","has_next_trigger","pending_reason","sample_reason","evidence_path","sample_confidence","confidence_reason","is_a_qualified","a_gap_reason","has_global_anchor","has_ashare_anchor","has_elasticity_or_counterexample","parent_topic","sample_role","blocker_type","has_davis_path","technical_source","technical_tool","technical_arguments","technical_structured_ready","technical_actual_source","technical_fallback_used","technical_confidence","technical_warnings","technical_cross_source_validated","technical_cross_source_ok"
"topic","AI产业链 - 芯片架构","已评分","topics/AI产业链 - 芯片架构.md","无需同步","AI仓状态表保留；Wiki无现有canonical页面或缺少对应周次评分历史，避免批量生成低质量页面","57","持有","是","是","是","是","是","是","是","","按映射表优先覆盖全球锚 ARM、A 股承接锚 芯原股份 与弹性/反证样本 RISC-V International。","03_结果层/01_总表整合与AI映射/AI产业链周评分_2026-07-03.md","B","当前已有样本和项目内结构化证据，但关键变量仍以旁证、代理数据或不完整一级来源为主。","否","当前未通过正式A门槛，主要受 一级来源/连续变量缺口、技术直连未复核 约束。","是","是","是","AI产业链 - 芯片架构","细分评分主体","一级来源/连续变量缺口；技术直连未复核","是","项目代理技术","项目代理技术","项目卡片现有技术段落","否","项目代理技术","否","low","技术直连未复核","否","否"
"topic","AI产业链 - IP 授权","已评分","topics/AI产业链 - IP 授权.md","无需同步","AI仓状态表保留；Wiki无现有canonical页面或缺少对应周次评分历史，避免批量生成低质量页面","57","持有","是","是","是","是","是","是","是","","按映射表优先覆盖全球锚 ARM、A 股承接锚 芯原股份 与弹性/反证样本 RISC-V International。","03_结果层/01_总表整合与AI映射/AI产业链周评分_2026-07-03.md","B","当前已有样本和项目内结构化证据，但关键变量仍以旁证、代理数据或不完整一级来源为主。","否","当前未通过正式A门槛，主要受 一级来源/连续变量缺口、技术直连未复核 约束。","是","是","是","AI产业链 - IP 授权","细分评分主体","一级来源/连续变量缺口；技术直连未复核","是","项目代理技术","项目代理技术","项目卡片现有技术段落","否","项目代理技术","否","low","技术直连未复核","否","否"
"topic","AI产业链 - EDA 工具","已评分","topics/AI产业链 - EDA 工具.md","无需同步","AI仓状态表保留；Wiki无现有canonical页面或缺少对应周次评分历史，避免批量生成低质量页面","57","持有","是","是","是","是","是","是","是","","按映射表优先覆盖全球锚 ARM、A 股承接锚 芯原股份 与弹性/反证样本 RISC-V International。","03_结果层/01_总表整合与AI映射/AI产业链周评分_2026-07-03.md","B","当前已有样本和项目内结构化证据，但关键变量仍以旁证、代理数据或不完整一级来源为主。","否","当前未通过正式A门槛，主要受 一级来源/连续变量缺口、技术直连未复核 约束。","是","是","是","AI产业链 - EDA 工具","细分评分主体","一级来源/连续变量缺口；技术直连未复核","是","项目代理技术","项目代理技术","项目卡片现有技术段落","否","项目代理技术","否","low","技术直连未复核","否","否"
"topic","AI产业链 - 芯片设计服务","已评分","topics/AI产业链 - 芯片设计服务.md","无需同步","AI仓状态表保留；Wiki无现有canonical页面或缺少对应周次评分历史，避免批量生成低质量页面","57","持有","是","是","是","是","是","是","是","","按映射表优先覆盖全球锚 ARM、A 股承接锚 芯原股份 与弹性/反证样本 RISC-V International。","03_结果层/01_总表整合与AI映射/AI产业链周评分_2026-07-03.md","B","当前已有样本和项目内结构化证据，但关键变量仍以旁证、代理数据或不完整一级来源为主。","否","当前未通过正式A门槛，主要受 一级来源/连续变量缺口、技术直连未复核 约束。","是","是","是","AI产业链 - 芯片设计服务","细分评分主体","一级来源/连续变量缺口；技术直连未复核","是","项目代理技术","项目代理技术","项目卡片现有技术段落","否","项目代理技术","否","low","技术直连未复核","否","否"
"topic","AI产业链 - 验证服务","已评分","topics/AI产业链 - 验证服务.md","无需同步","AI仓状态表保留；Wiki无现有canonical页面或缺少对应周次评分历史，避免批量生成低质量页面","57","持有","是","是","是","是","是","是","是","","按映射表优先覆盖全球锚 ARM、A 股承接锚 芯原股份 与弹性/反证样本 RISC-V International。","03_结果层/01_总表整合与AI映射/AI产业链周评分_2026-07-03.md","B","当前已有样本和项目内结构化证据，但关键变量仍以旁证、代理数据或不完整一级来源为主。","否","当前未通过正式A门槛，主要受 一级来源/连续变量缺口、技术直连未复核 约束。","是","是","是","AI产业链 - 验证服务","细分评分主体","一级来源/连续变量缺口；技术直连未复核","是","项目代理技术","项目代理技术","项目卡片现有技术段落","否","项目代理技术","否","low","技术直连未复核","否","否"
"topic","AI产业链 - 掩膜版","已评分","topics/AI产业链 - 掩膜版.md","无需同步","AI仓状态表保留；Wiki无现有canonical页面或缺少对应周次评分历史，避免批量生成低质量页面","57","持有","是","是","是","是","是","是","是","","按映射表优先覆盖全球锚 ARM、A 股承接锚 芯原股份 与弹性/反证样本 RISC-V International。","03_结果层/01_总表整合与AI映射/AI产业链周评分_2026-07-03.md","B","当前已有样本和项目内结构化证据，但关键变量仍以旁证、代理数据或不完整一级来源为主。","否","当前未通过正式A门槛，主要受 一级来源/连续变量缺口、技术直连未复核 约束。","是","是","是","AI产业链 - 掩膜版","细分评分主体","一级来源/连续变量缺口；技术直连未复核","是","项目代理技术","项目代理技术","项目卡片现有技术段落","否","项目代理技术","否","low","技术直连未复核","否","否"
"topic","AI产业链 - 先进制程代工","已评分","topics/AI产业链 - 先进制程代工.md","无需同步","AI仓状态表保留；Wiki无现有canonical页面或缺少对应周次评分历史，避免批量生成低质量页面","60","持有","是","是","是","是","是","是","是","","按映射表优先覆盖全球锚 TSMC、A 股承接锚 安集科技 与弹性/反证样本 Samsung Foundry。","03_结果层/01_总表整合与AI映射/AI产业链周评分_2026-07-03.md","B","当前已有样本和项目内结构化证据，但关键变量仍以旁证、代理数据或不完整一级来源为主。","否","当前未通过正式A门槛，主要受 一级来源/连续变量缺口、技术直连未复核 约束。","是","是","是","AI产业链 - 先进制程代工","细分评分主体","一级来源/连续变量缺口；技术直连未复核","是","项目代理技术","项目代理技术","项目卡片现有技术段落","否","项目代理技术","否","low","技术直连未复核","否","否"
"topic","AI产业链 - 成熟制程代工","已评分","topics/AI产业链 - 成熟制程代工.md","无需同步","AI仓状态表保留；Wiki无现有canonical页面或缺少对应周次评分历史，避免批量生成低质量页面","55","持有","是","是","是","是","是","是","是","","按映射表优先覆盖全球锚 TSMC、A 股承接锚 安集科技 与弹性/反证样本 Samsung Foundry。","03_结果层/01_总表整合与AI映射/AI产业链周评分_2026-07-03.md","B","当前已有样本和项目内结构化证据，但关键变量仍以旁证、代理数据或不完整一级来源为主。","否","当前未通过正式A门槛，主要受 一级来源/连续变量缺口、技术直连未复核 约束。","是","是","是","AI产业链 - 成熟制程代工","细分评分主体","一级来源/连续变量缺口；技术直连未复核","是","项目代理技术","项目代理技术","项目卡片现有技术段落","否","项目代理技术","否","low","技术直连未复核","否","否"
"topic","AI产业链 - 晶圆制造设备","已评分","topics/AI产业链 - 晶圆制造设备.md","无需同步","AI仓状态表保留；Wiki无现有canonical页面或缺少对应周次评分历史，避免批量生成低质量页面","58","持有","是","是","是","是","是","是","是","","按映射表优先覆盖全球锚 TSMC、A 股承接锚 安集科技 与弹性/反证样本 Samsung Foundry。","03_结果层/01_总表整合与AI映射/AI产业链周评分_2026-07-03.md","B","当前已有样本和项目内结构化证据，但关键变量仍以旁证、代理数据或不完整一级来源为主。","否","当前未通过正式A门槛，主要受 一级来源/连续变量缺口、技术直连未复核 约束。","是","是","是","AI产业链 - 晶圆制造设备","细分评分主体","一级来源/连续变量缺口；技术直连未复核","是","项目代理技术","项目代理技术","项目卡片现有技术段落","否","项目代理技术","否","low","技术直连未复核","否","否"
"topic","AI产业链 - 光刻","已评分","topics/AI产业链 - 光刻.md","无需同步","AI仓状态表保留；Wiki无现有canonical页面或缺少对应周次评分历史，避免批量生成低质量页面","60","持有","是","是","是","是","是","是","是","","按映射表优先覆盖全球锚 TSMC、A 股承接锚 安集科技 与弹性/反证样本 Samsung Foundry。","03_结果层/01_总表整合与AI映射/AI产业链周评分_2026-07-03.md","B","当前已有样本和项目内结构化证据，但关键变量仍以旁证、代理数据或不完整一级来源为主。","否","当前未通过正式A门槛，主要受 一级来源/连续变量缺口、技术直连未复核 约束。","是","是","是","AI产业链 - 光刻","细分评分主体","一级来源/连续变量缺口；技术直连未复核","是","项目代理技术","项目代理技术","项目卡片现有技术段落","否","项目代理技术","否","low","技术直连未复核","否","否"
"topic","AI产业链 - 刻蚀","已评分","topics/AI产业链 - 刻蚀.md","无需同步","AI仓状态表保留；Wiki无现有canonical页面或缺少对应周次评分历史，避免批量生成低质量页面","60","持有","是","是","是","是","是","是","是","","按映射表优先覆盖全球锚 TSMC、A 股承接锚 安集科技 与弹性/反证样本 Samsung Foundry。","03_结果层/01_总表整合与AI映射/AI产业链周评分_2026-07-03.md","B","当前已有样本和项目内结构化证据，但关键变量仍以旁证、代理数据或不完整一级来源为主。","否","当前未通过正式A门槛，主要受 一级来源/连续变量缺口、技术直连未复核 约束。","是","是","是","AI产业链 - 刻蚀","细分评分主体","一级来源/连续变量缺口；技术直连未复核","是","项目代理技术","项目代理技术","项目卡片现有技术段落","否","项目代理技术","否","low","技术直连未复核","否","否"
"topic","AI产业链 - 薄膜沉积","已评分","topics/AI产业链 - 薄膜沉积.md","无需同步","AI仓状态表保留；Wiki无现有canonical页面或缺少对应周次评分历史，避免批量生成低质量页面","58","持有","是","是","是","是","是","是","是","","按映射表优先覆盖全球锚 TSMC、A 股承接锚 安集科技 与弹性/反证样本 Samsung Foundry。","03_结果层/01_总表整合与AI映射/AI产业链周评分_2026-07-03.md","B","当前已有样本和项目内结构化证据，但关键变量仍以旁证、代理数据或不完整一级来源为主。","否","当前未通过正式A门槛，主要受 一级来源/连续变量缺口、技术直连未复核 约束。","是","是","是","AI产业链 - 薄膜沉积","细分评分主体","一级来源/连续变量缺口；技术直连未复核","是","项目代理技术","项目代理技术","项目卡片现有技术段落","否","项目代理技术","否","low","技术直连未复核","否","否"
"topic","AI产业链 - 清洗","已评分","topics/AI产业链 - 清洗.md","无需同步","AI仓状态表保留；Wiki无现有canonical页面或缺少对应周次评分历史，避免批量生成低质量页面","58","持有","是","是","是","是","是","是","是","","按映射表优先覆盖全球锚 TSMC、A 股承接锚 安集科技 与弹性/反证样本 Samsung Foundry。","03_结果层/01_总表整合与AI映射/AI产业链周评分_2026-07-03.md","B","当前已有样本和项目内结构化证据，但关键变量仍以旁证、代理数据或不完整一级来源为主。","否","当前未通过正式A门槛，主要受 一级来源/连续变量缺口、技术直连未复核 约束。","是","是","是","AI产业链 - 清洗","细分评分主体","一级来源/连续变量缺口；技术直连未复核","是","项目代理技术","项目代理技术","项目卡片现有技术段落","否","项目代理技术","否","low","技术直连未复核","否","否"
"topic","AI产业链 - 检测量测","已评分","topics/AI产业链 - 检测量测.md","无需同步","AI仓状态表保留；Wiki无现有canonical页面或缺少对应周次评分历史，避免批量生成低质量页面","60","持有","是","是","是","是","是","是","是","","按映射表优先覆盖全球锚 TSMC、A 股承接锚 安集科技 与弹性/反证样本 Samsung Foundry。","03_结果层/01_总表整合与AI映射/AI产业链周评分_2026-07-03.md","B","当前已有样本和项目内结构化证据，但关键变量仍以旁证、代理数据或不完整一级来源为主。","否","当前未通过正式A门槛，主要受 一级来源/连续变量缺口、技术直连未复核 约束。","是","是","是","AI产业链 - 检测量测","细分评分主体","一级来源/连续变量缺口；技术直连未复核","是","项目代理技术","项目代理技术","项目卡片现有技术段落","否","项目代理技术","否","low","技术直连未复核","否","否"
"topic","AI产业链 - CMP","已评分","topics/AI产业链 - CMP.md","无需同步","AI仓状态表保留；Wiki无现有canonical页面或缺少对应周次评分历史，避免批量生成低质量页面","58","持有","是","是","是","是","是","是","是","","按映射表优先覆盖全球锚 TSMC、A 股承接锚 安集科技 与弹性/反证样本 Samsung Foundry。","03_结果层/01_总表整合与AI映射/AI产业链周评分_2026-07-03.md","B","当前已有样本和项目内结构化证据，但关键变量仍以旁证、代理数据或不完整一级来源为主。","否","当前未通过正式A门槛，主要受 一级来源/连续变量缺口、技术直连未复核 约束。","是","是","是","AI产业链 - CMP","细分评分主体","一级来源/连续变量缺口；技术直连未复核","是","项目代理技术","项目代理技术","项目卡片现有技术段落","否","项目代理技术","否","low","技术直连未复核","否","否"
"topic","AI产业链 - 离子注入","已评分","topics/AI产业链 - 离子注入.md","无需同步","AI仓状态表保留；Wiki无现有canonical页面或缺少对应周次评分历史，避免批量生成低质量页面","58","持有","是","是","是","是","是","是","是","","按映射表优先覆盖全球锚 TSMC、A 股承接锚 安集科技 与弹性/反证样本 Samsung Foundry。","03_结果层/01_总表整合与AI映射/AI产业链周评分_2026-07-03.md","B","当前已有样本和项目内结构化证据，但关键变量仍以旁证、代理数据或不完整一级来源为主。","否","当前未通过正式A门槛，主要受 一级来源/连续变量缺口、技术直连未复核 约束。","是","是","是","AI产业链 - 离子注入","细分评分主体","一级来源/连续变量缺口；技术直连未复核","是","项目代理技术","项目代理技术","项目卡片现有技术段落","否","项目代理技术","否","low","技术直连未复核","否","否"
"topic","AI产业链 - 工艺气体","已评分","topics/AI产业链 - 工艺气体.md","无需同步","AI仓状态表保留；Wiki无现有canonical页面或缺少对应周次评分历史，避免批量生成低质量页面","58","持有","是","是","是","是","是","是","是","","按映射表优先覆盖全球锚 TSMC、A 股承接锚 安集科技 与弹性/反证样本 Samsung Foundry。","03_结果层/01_总表整合与AI映射/AI产业链周评分_2026-07-03.md","B","当前已有样本和项目内结构化证据，但关键变量仍以旁证、代理数据或不完整一级来源为主。","否","当前未通过正式A门槛，主要受 一级来源/连续变量缺口、技术直连未复核 约束。","是","是","是","AI产业链 - 工艺气体","细分评分主体","一级来源/连续变量缺口；技术直连未复核","是","项目代理技术","项目代理技术","项目卡片现有技术段落","否","项目代理技术","否","low","技术直连未复核","否","否"
"topic","AI产业链 - 光刻胶","已评分","topics/AI产业链 - 光刻胶.md","已同步","","60","持有","是","是","是","是","是","是","是","","按映射表优先覆盖全球锚 TSMC、A 股承接锚 安集科技 与弹性/反证样本 Samsung Foundry。","03_结果层/01_总表整合与AI映射/AI产业链周评分_2026-07-03.md","B","当前已有样本和项目内结构化证据，但关键变量仍以旁证、代理数据或不完整一级来源为主。","否","当前未通过正式A门槛，主要受 一级来源/连续变量缺口、技术直连未复核 约束。","是","是","是","AI产业链 - 光刻胶","细分评分主体","一级来源/连续变量缺口；技术直连未复核","是","项目代理技术","项目代理技术","项目卡片现有技术段落","否","项目代理技术","否","low","技术直连未复核","否","否"
"topic","AI产业链 - 靶材","已评分","topics/AI产业链 - 靶材.md","无需同步","AI仓状态表保留；Wiki无现有canonical页面或缺少对应周次评分历史，避免批量生成低质量页面","58","持有","是","是","是","是","是","是","是","","按映射表优先覆盖全球锚 TSMC、A 股承接锚 安集科技 与弹性/反证样本 Samsung Foundry。","03_结果层/01_总表整合与AI映射/AI产业链周评分_2026-07-03.md","B","当前已有样本和项目内结构化证据，但关键变量仍以旁证、代理数据或不完整一级来源为主。","否","当前未通过正式A门槛，主要受 一级来源/连续变量缺口、技术直连未复核 约束。","是","是","是","AI产业链 - 靶材","细分评分主体","一级来源/连续变量缺口；技术直连未复核","是","项目代理技术","项目代理技术","项目卡片现有技术段落","否","项目代理技术","否","low","技术直连未复核","否","否"
"topic","硅片","已评分","topics/硅片.md","已同步","","58","持有","是","是","是","是","是","是","是","","按映射表优先覆盖全球锚 TSMC、A 股承接锚 安集科技 与弹性/反证样本 Samsung Foundry。","03_结果层/01_总表整合与AI映射/AI产业链周评分_2026-07-03.md","B","当前已有样本和项目内结构化证据，但关键变量仍以旁证、代理数据或不完整一级来源为主。","否","当前未通过正式A门槛，主要受 一级来源/连续变量缺口、技术直连未复核 约束。","是","是","是","硅片","细分评分主体","一级来源/连续变量缺口；技术直连未复核","是","项目代理技术","项目代理技术","项目卡片现有技术段落","否","项目代理技术","否","low","技术直连未复核","否","否"
"topic","AI产业链 - 化学品与湿电子化学品","已评分","topics/AI产业链 - 化学品与湿电子化学品.md","已同步","","58","持有","是","是","是","是","是","是","是","","按映射表优先覆盖全球锚 TSMC、A 股承接锚 安集科技 与弹性/反证样本 Samsung Foundry。","03_结果层/01_总表整合与AI映射/AI产业链周评分_2026-07-03.md","B","当前已有样本和项目内结构化证据，但关键变量仍以旁证、代理数据或不完整一级来源为主。","否","当前未通过正式A门槛，主要受 一级来源/连续变量缺口、技术直连未复核 约束。","是","是","是","AI产业链 - 化学品与湿电子化学品","细分评分主体","一级来源/连续变量缺口；技术直连未复核","是","项目代理技术","项目代理技术","项目卡片现有技术段落","否","项目代理技术","否","low","技术直连未复核","否","否"
"topic","AI产业链 - 光掩模 blank","已评分","topics/AI产业链 - 光掩模 blank.md","无需同步","AI仓状态表保留；Wiki无现有canonical页面或缺少对应周次评分历史，避免批量生成低质量页面","58","持有","是","是","是","是","是","是","是","","按映射表优先覆盖全球锚 TSMC、A 股承接锚 安集科技 与弹性/反证样本 Samsung Foundry。","03_结果层/01_总表整合与AI映射/AI产业链周评分_2026-07-03.md","B","当前已有样本和项目内结构化证据，但关键变量仍以旁证、代理数据或不完整一级来源为主。","否","当前未通过正式A门槛，主要受 一级来源/连续变量缺口、技术直连未复核 约束。","是","是","是","AI产业链 - 光掩模 blank","细分评分主体","一级来源/连续变量缺口；技术直连未复核","是","项目代理技术","项目代理技术","项目卡片现有技术段落","否","项目代理技术","否","low","技术直连未复核","否","否"
"topic","AI产业链 - 掩模保护膜 ／ pellicle","已评分","topics/AI产业链 - 掩模保护膜 ／ pellicle.md","无需同步","AI仓状态表保留；Wiki无现有canonical页面或缺少对应周次评分历史，避免批量生成低质量页面","58","持有","是","是","是","是","是","是","是","","按映射表优先覆盖全球锚 TSMC、A 股承接锚 安集科技 与弹性/反证样本 Samsung Foundry。","03_结果层/01_总表整合与AI映射/AI产业链周评分_2026-07-03.md","B","当前已有样本和项目内结构化证据，但关键变量仍以旁证、代理数据或不完整一级来源为主。","否","当前未通过正式A门槛，主要受 一级来源/连续变量缺口、技术直连未复核 约束。","是","是","是","AI产业链 - 掩模保护膜 ／ pellicle","细分评分主体","一级来源/连续变量缺口；技术直连未复核","是","项目代理技术","项目代理技术","项目卡片现有技术段落","否","项目代理技术","否","low","技术直连未复核","否","否"
"topic","AI产业链 - CMP slurry","已评分","topics/AI产业链 - CMP slurry.md","无需同步","AI仓状态表保留；Wiki无现有canonical页面或缺少对应周次评分历史，避免批量生成低质量页面","58","持有","是","是","是","是","是","是","是","","按映射表优先覆盖全球锚 TSMC、A 股承接锚 安集科技 与弹性/反证样本 Samsung Foundry。","03_结果层/01_总表整合与AI映射/AI产业链周评分_2026-07-03.md","B","当前已有样本和项目内结构化证据，但关键变量仍以旁证、代理数据或不完整一级来源为主。","否","当前未通过正式A门槛，主要受 一级来源/连续变量缺口、技术直连未复核 约束。","是","是","是","AI产业链 - CMP slurry","细分评分主体","一级来源/连续变量缺口；技术直连未复核","是","项目代理技术","项目代理技术","项目卡片现有技术段落","否","项目代理技术","否","low","技术直连未复核","否","否"
